#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
23.4%	1170000	-235367.05950678024	302.1288469248506	627
23.6%	1180000	-235113.51830042037	300.15615074094325	627
23.8%	1190000	-235488.28873956832	300.37163347863503	627
24.0%	1200000	-234168.5034765068	299.3154332450624	627
24.2%	1210000	-235784.63137567672	302.85161233820924	627
24.4%	1220000	-235796.59599054488	306.134594093411	627
24.6%	1230000	-235741.0423864189	302.9223503539327	627
24.8%	1240000	-235124.31944025191	298.936102083309	627
25.0%	1250000	-234958.76284540328	301.56866110967894	627
25.2%	1260000	-235049.4016393486	299.05887902376963	627
25.4%	1270000	-234843.19637811813	301.64860019487065	627
25.6%	1280000	-235433.09167230758	302.70172640899233	627
25.8%	1290000	-235151.28161371383	296.60383102165264	627
26.0%	1300000	-235778.38311517867	302.21692403942103	627
26.2%	1310000	-235677.66203058395	298.50098640559264	627
26.4%	1320000	-235656.22282159957	303.4628667740337	627
26.6%	1330000	-234398.06538141402	302.25038499168653	627
26.8%	1340000	-235188.7424367729	301.28545331918923	627
27.0%	1350000	-235603.83588922652	300.4990881033541	627
27.2%	1360000	-235241.6453603569	302.0231865367062	627
27.4%	1370000	-235080.13986719283	300.2988234354796	627
27.6%	1380000	-235003.34328973922	301.2506935854841	627
27.8%	1390000	-234497.0449041191	301.9556647690829	627
28.0%	1400000	-234916.69280756149	302.46412855732865	627
28.2%	1410000	-235222.97088373336	305.429017042652	627
28.4%	1420000	-235536.00823724899	300.8808883234872	627
28.6%	1430000	-235307.83164728316	302.40916703740453	627
28.8%	1440000	-235443.24627435836	301.2327383592754	627
29.0%	1450000	-235180.8200124565	302.1068913490219	627
29.2%	1460000	-234699.96946466598	296.12083209530067	627
29.4%	1470000	-236001.80297601852	305.979227871804	627
29.6%	1480000	-236385.90932977828	299.45611667911385	627
29.8%	1490000	-235044.9948247734	298.877629663654	627
30.0%	1500000	-234870.30039728316	295.8670031978765	627
30.2%	1510000	-235972.13149774703	306.0252249177727	627
30.4%	1520000	-234797.1044591728	302.4425870569385	627
30.6%	1530000	-235355.89919794234	302.19673346583977	627
30.8%	1540000	-234845.88598383102	298.998622675545	628
31.0%	1550000	-235306.51551569137	303.33729264786234	628
31.2%	1560000	-235407.8342565361	303.55248416635754	628
31.4%	1570000	-234665.68547571334	299.68464751299115	628
31.6%	1580000	-235749.0689061943	303.3574183227335	628
31.8%	1590000	-235742.92541254195	297.27865432262575	628
32.0%	1600000	-235549.8421911064	297.7292015131238	628
32.2%	1610000	-235099.88625848922	304.37329306274995	628
32.4%	1620000	-235660.1736882988	299.388313378271	628
32.6%	1630000	-234922.3876622978	304.5993576430616	628
32.8%	1640000	-234915.6899999443	295.95140932236774	628
33.0%	1650000	-235362.4160131279	304.88334885679706	628
33.2%	1660000	-235175.8521093193	298.82101568324526	628
33.4%	1670000	-234990.44093073043	300.5742743847416	628
33.6%	1680000	-234733.47939813766	304.81157627703135	628
33.8%	1690000	-235205.57608926925	296.1641191496131	628
34.0%	1700000	-234623.5090459648	299.71636107548255	628
34.2%	1710000	-235302.7569631401	302.3817142225281	628
34.4%	1720000	-234638.6559728447	301.8015414333571	628
34.6%	1730000	-235602.6372808281	299.1620129852428	628
34.8%	1740000	-235698.34492242965	301.5358065591225	628
35.0%	1750000	-235601.48226679	302.95241114248006	628
35.2%	1760000	-234650.9521459404	298.8042254243215	628
35.4%	1770000	-234896.82388055953	301.11688357609927	628
35.6%	1780000	-235370.42037714156	302.6643948795568	628
35.8%	1790000	-235257.9533819023	298.0554409627565	628
36.0%	1800000	-235200.87936914596	305.1618788193877	628
36.2%	1810000	-235473.79521692428	302.6405575784252	628
36.4%	1820000	-234577.87502802047	296.4969128926233	628
36.6%	1830000	-235049.79214227828	300.4310683952855	628
36.8%	1840000	-235365.76232660445	303.0934958594621	628
37.0%	1850000	-235384.0296911064	300.31015488948253	628
37.2%	1860000	-235106.80710352096	296.4804656549566	628
37.4%	1870000	-235383.3179296318	300.87605968357803	628
37.6%	1880000	-234771.82925165328	299.2746821904131	628
37.8%	1890000	-235066.2202733818	302.70257551093584	628
38.0%	1900000	-235787.512559301	300.5631138327866	628
38.2%	1910000	-235093.42823541793	300.07071597357316	628
38.4%	1920000	-234726.5430883232	298.9061165395876	628
38.6%	1930000	-235690.23391473922	299.144186723669	628
38.8%	1940000	-235348.38686884078	300.53622005819295	629
39.0%	1950000	-235703.27575433883	299.06164353114184	629
39.2%	1960000	-235167.40002191695	301.931567778836	629
39.4%	1970000	-235420.82717645797	298.3736551965556	629
39.6%	1980000	-235418.14834345016	298.4657625653712	629
39.8%	1990000	-234829.840230352	298.4025951411668	629
40.0%	2000000	-234616.71923578414	302.2587380019126	629
40.2%	2010000	-233829.8465093437	304.04259496437265	629
40.4%	2020000	-235826.07800043258	301.1989865046964	629
40.6%	2030000	-236432.34145868453	299.6538878641154	629
40.8%	2040000	-235430.00900018844	299.7220552517864	629
41.0%	2050000	-235484.04787958297	303.50846840015333	629
41.2%	2060000	-234299.00101984176	297.80695996480256	629
41.4%	2070000	-234854.85213983688	299.8097302275563	629
41.6%	2080000	-235143.52390802535	298.9087793102385	629
41.8%	2090000	-235054.98975885543	300.49402420282195	629
42.0%	2100000	-235411.12015283736	302.7572210763245	629
42.2%	2110000	-235122.3373235527	302.5560082780555	629
42.4%	2120000	-235278.73483026656	299.693887197857	629
42.6%	2130000	-235583.36710870895	300.6653473915612	629
