#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
23.2%	1160000	-259341.9367241764	297.7457267313748	633
23.4%	1170000	-258210.460985651	302.74638417793886	633
23.6%	1180000	-258680.4309868717	300.5901674234913	633
23.8%	1190000	-259859.4689507389	303.18154590190755	633
24.0%	1200000	-258461.10396050452	299.4509815516491	633
24.2%	1210000	-259090.37181328773	299.87463932239876	633
24.4%	1220000	-259065.99820183753	301.03274478483286	633
24.6%	1230000	-259138.0250115299	301.8437692093853	633
24.8%	1240000	-259325.3800835514	297.79800989627466	633
25.0%	1250000	-259355.5222344303	296.36902568609673	633
25.2%	1260000	-259379.65138482093	298.9292150649052	633
25.4%	1270000	-258240.9263787174	301.5659036206641	633
25.6%	1280000	-258146.41847466468	302.0355741920739	633
25.8%	1290000	-258525.1468071842	297.9770830379483	633
26.0%	1300000	-259792.31598137855	302.71644619628114	633
26.2%	1310000	-258829.8411431217	303.63498395921016	633
26.4%	1320000	-259373.29074334144	299.5475447519984	633
26.6%	1330000	-258410.91958855628	300.0982733174617	633
26.8%	1340000	-258348.48543023109	299.7056343492201	633
27.0%	1350000	-258162.96342705726	301.7901141981484	633
27.2%	1360000	-259354.2101616764	301.391554162317	633
27.4%	1370000	-258705.99366997718	298.79919595672766	633
27.6%	1380000	-258785.38795708655	298.26823834010287	632
27.8%	1390000	-259098.49833916663	298.17493466669146	632
28.0%	1400000	-258646.10446404456	298.6453010067953	632
28.2%	1410000	-259592.54139946937	300.31744864088216	632
28.4%	1420000	-259441.8528923893	302.2029189338481	632
28.6%	1430000	-259548.6931481266	306.6018485259757	632
28.8%	1440000	-258537.39256524085	303.89375332190104	632
29.0%	1450000	-259024.85042046546	300.4722464956271	632
29.2%	1460000	-258684.72517632484	304.6454898454628	632
29.4%	1470000	-258714.9051842594	301.0951650397578	632
29.6%	1480000	-259270.3459038639	299.79580343156965	632
29.8%	1490000	-258816.8620781803	299.1594751822626	632
30.0%	1500000	-258157.37147759437	298.28194316372225	632
30.2%	1510000	-258361.0423149967	300.9060237143191	632
30.4%	1520000	-259567.13484429359	302.0314231747532	632
30.6%	1530000	-258727.15718316077	300.18618628609886	632
30.8%	1540000	-258627.78889702796	298.35217358806426	632
31.0%	1550000	-259541.83162163734	299.47489805336045	632
31.2%	1560000	-258497.9478630924	302.33509928754125	632
31.4%	1570000	-258666.0759453678	301.6347094753641	632
31.6%	1580000	-258649.64634942054	301.8193929472113	632
31.8%	1590000	-259209.52745293616	298.87430030888027	632
32.0%	1600000	-258358.39328240394	302.3947575427497	632
32.2%	1610000	-258932.85212944984	302.6375485422943	632
32.4%	1620000	-259217.7228569889	297.74620585151166	632
32.6%	1630000	-258597.5067620182	304.0267068351435	632
32.8%	1640000	-258908.40327691077	299.40741927489955	632
33.0%	1650000	-259429.4828820133	305.8981225001034	632
33.2%	1660000	-259102.02620171546	303.8025832845064	632
33.4%	1670000	-258533.70027398109	303.350019935976	632
33.6%	1680000	-258588.4332451725	301.22472033488566	632
33.8%	1690000	-259526.8371148014	296.3728471375962	632
34.0%	1700000	-259445.64897393226	299.76524739799146	632
34.2%	1710000	-258988.09083794593	300.01730307596034	632
34.4%	1720000	-259109.0775017643	297.01340237381373	632
34.6%	1730000	-258540.36842583655	299.40292651260734	632
34.8%	1740000	-258768.74760674476	299.704526016041	632
35.0%	1750000	-259447.49716423987	299.89380542922305	632
35.2%	1760000	-258845.1988701725	301.87523434119043	632
35.4%	1770000	-258746.8909478092	303.08922292152437	632
35.6%	1780000	-259366.86928032874	303.1006043737615	631
35.8%	1790000	-259277.32856987952	302.1264357745813	631
36.0%	1800000	-258467.98323296546	298.4564719874541	631
36.2%	1810000	-259102.0914177799	298.1081134350805	631
36.4%	1820000	-259108.50337456702	301.588911202805	631
36.6%	1830000	-258924.7327446842	299.72124953947304	631
36.8%	1840000	-259576.0652031803	301.0216782757135	631
37.0%	1850000	-258612.21986626624	301.5934888205265	631
37.2%	1860000	-259066.83833550452	301.6341944709121	631
37.4%	1870000	-258671.85197686194	304.62996572042397	631
37.6%	1880000	-259164.99273156165	298.8842020193673	631
37.8%	1890000	-258447.87135552405	294.83434373772667	631
38.0%	1900000	-258634.46138237952	303.1803875857117	631
